3745487364.05006	1.000	0.0000000001	12759170653.90750	
3745487364.05770	1.000	0.0000000001	12812299807.81550	
3745487364.06469	1.000	0.0000000001	12800000000.00000	
3745487364.07199	1.000	0.0000000001	12812299807.81550	
3745487364.07877	1.000	0.0000000001	12847690627.60969	
3745487364.08575	1.000	0.0000000001	12909055702.57536	
3745487364.09273	1.000	0.0000000001	12924906294.42937	
3745487364.09971	1.000	0.0000000001	12899064817.80071	
3745487364.10669	1.000	0.0000000001	12953367875.64767	
3745487364.11368	1.000	0.0000000001	13032712107.38955	
3745487364.12066	1.000	0.0000000001	13016596160.10413	
3745487364.12764	1.000	0.0000000001	13065064018.81369	
3745487364.13462	1.000	0.0000000001	13095861707.70037	
3745487364.14160	1.000	0.0000000001	13111315064.90101	
3745487364.14858	1.000	0.0000000001	13124220749.39301	
3745487364.15658	1.000	0.0000000001	13148379462.23128	
3745487364.16356	1.000	0.0000000001	13170892327.95522	
3745487364.17053	1.000	0.0000000001	13191741969.52707	
3745487364.17752	1.000	0.0000000001	13217023526.30188	
3745487364.18450	1.000	0.0000000001	13238895876.08393	
3745487364.19233	1.000	0.0000000001	13310262212.16558	
3745487364.19846	1.000	0.0000000001	13345789403.44321	
3745487364.20629	1.000	0.0000000001	13356484573.26032	
3745487364.21242	1.000	0.0000000001	13375242426.26898	
3745487364.21941	1.000	0.0000000001	13392259274.13955	
3745487364.22724	1.000	0.0000000001	13413816230.71764	
3745487364.23422	1.000	0.0000000001	13419216317.76704	
3745487364.24033	1.000	0.0000000001	13409319477.03654	
3745487364.24819	1.000	0.0000000001	13483449066.27115	
3745487364.25516	1.000	0.0000000001	13587879611.38664	
3745487364.26115	1.000	0.0000000001	13564839934.88877	
3745487364.26913	1.000	0.0000000001	13548299688.38911	
3745487364.27611	1.000	0.0000000001	13633265167.00750	
3745487364.28309	1.000	0.0000000001	13656538067.59986	
